Neighborhood,Neighborhood Code
Alexandra Park,1
Bayview Village,2
Beaconsfield Village,3
Bickford Park,4
Bloor-West Village,5
Bloordale Village,6
Brockton Village,7
Cabbagetown,8
Casa Loma,9
Chinatown,10
Christie Pits,11
Church-Wellesley Village,12
City Place,13
Cooksville,14
Corktown,15
Corso Italia,16
Deer Park,17
Discovery District,18
Distillery District,19
Dovercourt,20
Downsview,21
Downtown Core,22
Dufferin Grove,23
East York,24
Entertainment District,25
Etobicoke,26
Financial District,27
Greektown,28
Harbourfront,29
High Park,30
Kensington Market,31
Koreatown,32
Leslieville,33
Liberty Village,34
Little Italy,35
Little Portugal,36
Markland Wood,37
Meadowvale Village,38
Milliken,39
Mount Pleasant and Davisville,40
New Toronto,41
Niagara,42
Ossington Strip,43
Palmerston,44
Parkdale,45
Queen Street West,46
Rexdale,47
Riverdale,48
Roncesvalles,49
Rosedale,50
Ryerson,51
Scarborough,52
Seaton Village,53
South Hill,54
St. Lawrence,55
Summer Hill,56
Swansea,57
The Annex,58
The Beach,59
The Danforth,60
The Junction,61
Trinity Bellwoods,62
University of Toronto,63
Upper Beach,64
Wallace Emerson,65
West Don Lands,66
West Queen West,67
Willowdale,68
Wychwood,69
Yonge and Eglinton,70
Yonge and St. Clair,71
Yorkville,72
